Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
08-Apr-21,EQ,"1,008.00","1,049.85","1,005.00","1,002.40","1,028.55","1,029.00","1,031.44","1,081.55",490,"67,37,118","6,94,89,39,994.25","1,50,807"
07-Apr-21,EQ,992,"1,005.65",982.1,991.35,"1,000.20","1,002.40",996.2,"1,081.55",490,"29,74,419","2,96,31,06,334.15","73,301"
06-Apr-21,EQ,"1,006.00","1,008.00",988.55,997.7,992,991.35,998.14,"1,081.55",490,"23,95,572","2,39,11,25,209.15","72,684"
05-Apr-21,EQ,992,"1,007.20",978.2,992.15,998.6,997.7,996.23,"1,081.55",490,"51,18,272","5,09,89,79,277.25","1,10,183"
01-Apr-21,EQ,"1,000.00","1,007.80",986,991.45,990.2,992.15,994.99,"1,081.55",485.65,"35,55,291","3,53,74,85,541.65","81,967"
31-Mar-21,EQ,"1,023.00","1,023.00",989.2,"1,016.90",994.6,991.45,"1,000.12","1,081.55",485.65,"37,80,505","3,78,09,46,572.65","78,230"
30-Mar-21,EQ,991.5,"1,019.80",991.5,991,"1,015.50","1,016.90","1,007.12","1,081.55",485.65,"43,03,081","4,33,37,36,846.70","98,738"
26-Mar-21,EQ,977.9,997.8,977,968.7,990,991,989.03,"1,081.55",471.4,"27,61,824","2,73,15,18,277.95","66,538"
25-Mar-21,EQ,992.7,996.9,964.1,992.15,970,968.7,983.38,"1,081.55",471.4,"36,54,840","3,59,41,01,068.35","1,00,760"
24-Mar-21,EQ,"1,003.75","1,013.35",987.25,"1,013.85",992.4,992.15,"1,000.83","1,081.55",471.4,"27,49,823","2,75,21,04,878.25","65,101"
23-Mar-21,EQ,"1,013.55","1,021.50","1,000.55","1,013.55","1,016.00","1,013.85","1,012.77","1,081.55",471.4,"37,82,337","3,83,06,36,469.50","88,325"
22-Mar-21,EQ,989.9,"1,017.40",978.3,989.45,"1,014.90","1,013.55","1,003.22","1,081.55",471.4,"38,73,143","3,88,56,01,864.90","92,430"
19-Mar-21,EQ,992,"1,000.75",975.15,996.2,983.7,989.45,988.28,"1,081.55",471.4,"62,08,000","6,13,52,44,797.85","1,42,669"
18-Mar-21,EQ,"1,034.00","1,035.00",978.6,"1,020.05",999.6,996.2,"1,012.69","1,081.55",471.4,"37,38,712","3,78,61,50,543.45","97,631"
17-Mar-21,EQ,"1,024.00","1,043.20","1,015.60","1,026.55","1,020.00","1,020.05","1,031.26","1,081.55",471.4,"34,77,295","3,58,59,84,562.00","85,451"
16-Mar-21,EQ,"1,032.00","1,045.00","1,021.10","1,026.65","1,026.70","1,026.55","1,033.79","1,081.55",471.4,"47,97,715","4,95,98,08,413.95","1,15,400"
15-Mar-21,EQ,"1,005.00","1,029.95","1,002.00","1,003.25","1,027.00","1,026.65","1,018.39","1,081.55",471.4,"52,03,151","5,29,88,14,030.25","1,27,793"
12-Mar-21,EQ,"1,000.00","1,024.60",996.15,"1,008.75","1,003.00","1,003.25","1,010.69","1,081.55",471.4,"46,74,919","4,72,48,83,335.90","1,22,653"
10-Mar-21,EQ,"1,002.00","1,016.80",993,988.15,"1,006.15","1,008.75","1,007.48","1,081.55",471.4,"52,68,496","5,30,78,80,399.95","1,14,821"
09-Mar-21,EQ,973,998.5,961.55,968.5,995.25,988.15,976.42,"1,081.55",471.4,"28,14,747","2,74,83,74,881.30","55,661"
08-Mar-21,EQ,963,980,962,959.7,967.5,968.5,970.85,"1,081.55",471.4,"28,80,739","2,79,67,52,577.65","60,454"
