Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-Mar-23,EQ,190.45,191.6,188.65,182.5,191.6,191.6,191.36,432.5,132.4,"77,35,789","1,48,03,09,945.95","22,062"
29-Mar-23,EQ,167,182.5,166.4,173.85,182.5,182.5,178.38,432.5,132.4,"1,64,63,799","2,93,68,65,881.65","80,388"
28-Mar-23,EQ,178.95,183,173.85,183,173.85,173.85,174.98,432.5,132.4,"53,85,184","94,23,02,183.60","47,730"
27-Mar-23,EQ,195.6,195.6,183,192.6,183,183,185.9,432.5,132.4,"80,57,710","1,49,79,60,982.35","87,250"
24-Mar-23,EQ,202.55,204,192.15,201.4,192.7,192.6,196.48,432.5,122.3,"1,37,74,170","2,70,63,27,719.45","1,25,843"
23-Mar-23,EQ,201.7,211.4,200.3,204.05,201.4,201.4,205.97,432.5,122.3,"1,46,88,196","3,02,52,63,481.80","1,18,939"
22-Mar-23,EQ,203.15,207.7,201.15,199.7,203.45,204.05,204.6,432.5,122.3,"1,00,63,003","2,05,88,58,568.95","88,289"
21-Mar-23,EQ,191.9,199.7,186.55,190.2,199.7,199.7,195.58,432.5,122.3,"1,21,41,316","2,37,45,87,589.40","90,966"
20-Mar-23,EQ,193,196.8,189.95,199.95,189.95,190.2,191.89,432.5,122.3,"1,21,19,227","2,32,55,15,974.65","98,626"
17-Mar-23,EQ,203.85,205.3,198.25,198.7,199.8,199.95,201.6,432.5,120.5,"1,13,91,354","2,29,64,82,618.50","89,940"
16-Mar-23,EQ,200.5,205.95,195.2,201.8,198.3,198.7,200.63,432.5,120.5,"1,70,03,632","3,41,14,78,588.05","1,35,513"
15-Mar-23,EQ,194.15,214.55,194.15,204.35,199.8,201.8,204.49,432.5,120.5,"4,53,64,592","9,27,64,28,869.65","2,39,853"
14-Mar-23,EQ,217.35,217.35,204.35,215.1,204.35,204.35,205.61,432.5,120.5,"1,44,55,921","2,97,22,67,934.25","67,115"
13-Mar-23,EQ,211.7,215.1,211.05,204.9,215.1,215.1,214.69,432.5,120.5,"2,22,86,761","4,78,48,38,697.05","98,857"
10-Mar-23,EQ,193,205.65,187.25,195.9,205.65,204.9,198.77,432.5,115.35,"3,43,15,072","6,82,07,98,369.75","2,70,785"
09-Mar-23,EQ,195.9,195.9,188.15,186.6,195.9,195.9,194.9,432.5,115.35,"4,31,38,384","8,40,78,83,886.35","1,93,894"
08-Mar-23,EQ,183.1,186.6,175.1,177.75,186.6,186.6,183.83,432.5,115.35,"1,97,86,702","3,63,73,49,945.95","1,04,810"
06-Mar-23,EQ,177.75,177.75,177.75,169.3,177.75,177.75,177.75,432.5,115.35,"28,77,047","51,13,95,104.25","7,984"
03-Mar-23,EQ,169.3,169.3,169.3,161.25,169.3,169.3,169.3,432.5,115.35,"6,48,028","10,97,11,140.40","6,273"
02-Mar-23,EQ,161.25,161.25,161.25,153.6,161.25,161.25,161.25,432.5,115.35,"10,30,431","16,61,56,998.75","6,682"
