Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
13-Nov-20,EQ,822.9,831.45,818.15,824.7,827.85,828.1,826.38,"1,159.80",375.25,"39,18,289","3,23,80,10,484.85","67,486"
12-Nov-20,EQ,827.15,837,822,826.05,824.8,824.7,827.32,"1,159.80",375.25,"46,99,639","3,88,81,03,545.35","1,43,412"
11-Nov-20,EQ,813,829,805.35,809.7,827,826.05,816.15,"1,159.80",375.25,"97,79,484","7,98,15,04,358.40","2,09,931"
10-Nov-20,EQ,848.5,848.5,805.75,855,812.15,809.7,819.11,"1,159.80",375.25,"1,03,97,497","8,51,66,93,853.30","2,30,164"
09-Nov-20,EQ,866.8,872.8,847.1,850.1,858.95,855,856.87,"1,159.80",375.25,"75,05,062","6,43,08,73,335.15","1,41,970"
06-Nov-20,EQ,846,855.8,836.4,842.9,854.8,850.1,843.11,"1,166.30",375.25,"58,71,913","4,95,06,63,909.40","1,13,621"
05-Nov-20,EQ,834,851.1,830.05,815.15,845,842.9,841.02,"1,166.30",375.25,"89,03,859","7,48,82,98,537.70","1,56,095"
04-Nov-20,EQ,812.2,841.75,810.6,814.05,817.95,815.15,824.78,"1,166.30",375.25,"1,00,77,502","8,31,17,30,455.30","2,06,966"
03-Nov-20,EQ,828,832,812.35,822.4,813.5,814.05,821.95,"1,166.30",375.25,"70,11,687","5,76,32,48,341.75","1,40,829"
02-Nov-20,EQ,841.95,843.85,819.2,841.95,822.15,822.4,825.74,"1,166.30",375.25,"59,53,172","4,91,57,97,446.60","1,11,715"
30-Oct-20,EQ,842.8,859.7,833,840.05,844.75,841.95,846.09,"1,170.00",375.25,"87,27,295","7,38,40,43,618.60","1,34,890"
29-Oct-20,EQ,825,842.5,818.95,829.6,836.4,840.05,833.08,"1,170.00",375.25,"66,91,023","5,57,41,54,054.95","1,16,800"
28-Oct-20,EQ,852,852,821.6,847.25,829.9,829.6,833.36,"1,170.00",375.25,"68,53,043","5,71,10,54,678.00","1,39,980"
27-Oct-20,EQ,848.95,857.45,838.7,847.8,850,847.25,846.32,"1,170.00",375.25,"58,07,905","4,91,53,24,316.85","1,09,755"
26-Oct-20,EQ,853,860.9,842.05,852.45,847.45,847.8,852.83,"1,170.00",375.25,"66,14,014","5,64,06,36,211.15","1,20,624"
23-Oct-20,EQ,871,875.45,850.6,866.25,852.5,852.45,860.3,"1,170.00",375.25,"54,47,502","4,68,64,96,350.10","1,15,601"
22-Oct-20,EQ,858.9,878,851.55,871.05,866,866.25,866.76,"1,170.00",375.25,"96,07,800","8,32,76,20,040.70","1,68,926"
21-Oct-20,EQ,881,891.65,860,879.65,866,871.05,874.89,"1,170.00",375.25,"1,11,62,084","9,76,56,38,802.00","1,55,501"
20-Oct-20,EQ,846.95,886,843.6,844.75,881,879.65,875.71,"1,170.00",375.25,"2,15,64,064","18,88,38,32,254.25","2,91,297"
19-Oct-20,EQ,839.8,861.7,833,827.15,846.95,844.75,848.3,"1,170.00",375.25,"1,56,71,737","13,29,42,74,079.85","2,58,268"
16-Oct-20,EQ,859,877,820.6,860,830.05,827.15,836.13,"1,170.00",375.25,"2,89,83,265","24,23,37,58,849.90","4,13,675"
15-Oct-20,EQ,899.95,903.7,833.45,890.45,863.45,860,864,"1,170.00",375.25,"1,56,48,849","13,52,06,50,712.00","2,33,161"
14-Oct-20,EQ,904,910.7,882,900.4,887,890.45,893.4,"1,170.00",375.25,"1,54,41,223","13,79,52,33,299.15","1,91,846"
13-Oct-20,EQ,866.3,906.6,863.3,865.8,900.9,900.4,892.77,"1,170.00",375.25,"1,89,48,688","16,91,68,14,839.50","2,30,425"
12-Oct-20,EQ,860.8,871.95,857.15,855.75,866.2,865.8,864.97,"1,170.00",375.25,"87,17,565","7,54,04,51,283.15","1,17,629"
09-Oct-20,EQ,852.9,862.5,849.3,849.55,857,855.75,856.14,"1,170.00",375.25,"72,86,954","6,23,86,55,498.20","1,16,290"
08-Oct-20,EQ,857.5,879,844.5,828.05,849.5,849.55,862.06,"1,170.00",375.25,"2,58,60,578","22,29,32,63,288.10","3,47,607"
07-Oct-20,EQ,830,830.6,823,829.15,829.9,828.05,826.72,"1,170.00",375.25,"69,80,002","5,77,05,34,151.20","1,18,532"
06-Oct-20,EQ,830,834.5,822.7,824.2,828,829.15,828.17,"1,170.00",375.25,"78,48,520","6,49,99,12,047.05","1,21,003"
05-Oct-20,EQ,828.8,839.2,815.1,812.95,823.3,824.2,826.77,"1,170.00",375.25,"1,18,90,211","9,83,04,83,480.50","1,74,768"
01-Oct-20,EQ,819.9,820.95,811.2,811.6,813.7,812.95,815.73,"1,170.00",375.25,"43,21,350","3,52,50,35,142.45","85,705"
30-Sep-20,EQ,818,820.5,807.1,812.75,810,811.6,812.95,"1,170.00",375.25,"94,70,277","7,69,88,57,123.65","1,73,273"
29-Sep-20,EQ,837.4,841.1,810.2,835.25,815.35,812.75,825.53,"1,170.00",375.25,"1,05,54,255","8,71,28,07,901.35","1,73,071"
28-Sep-20,EQ,838.4,844.75,820.8,827.7,834,835.25,835.22,"1,170.00",375.25,"1,11,46,342","9,30,96,66,828.50","1,80,648"
25-Sep-20,EQ,795.25,836,792.6,788.3,830.1,827.7,821.94,"1,170.00",375.25,"1,98,13,372","16,28,53,68,271.70","3,37,042"
